,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,6,0,England,266,7,Guyana,Providence Stadium,266/7
1,2,8,1,England,266,7,Guyana,Providence Stadium,266/7
2,3,12,1,England,266,7,Guyana,Providence Stadium,266/7
3,4,12,1,England,266,7,Guyana,Providence Stadium,266/7
4,5,22,1,England,266,7,Guyana,Providence Stadium,266/7
5,6,25,2,England,266,7,Guyana,Providence Stadium,266/7
6,7,26,2,England,266,7,Guyana,Providence Stadium,266/7
7,8,36,2,England,266,7,Guyana,Providence Stadium,266/7
8,9,38,2,England,266,7,Guyana,Providence Stadium,266/7
9,10,45,2,England,266,7,Guyana,Providence Stadium,266/7
10,11,52,2,England,266,7,Guyana,Providence Stadium,266/7
11,12,66,2,England,266,7,Guyana,Providence Stadium,266/7
12,13,68,2,England,266,7,Guyana,Providence Stadium,266/7
13,14,69,2,England,266,7,Guyana,Providence Stadium,266/7
14,15,73,2,England,266,7,Guyana,Providence Stadium,266/7
15,16,76,2,England,266,7,Guyana,Providence Stadium,266/7
16,17,80,2,England,266,7,Guyana,Providence Stadium,266/7
17,18,84,2,England,266,7,Guyana,Providence Stadium,266/7
18,19,84,2,England,266,7,Guyana,Providence Stadium,266/7
19,20,85,2,England,266,7,Guyana,Providence Stadium,266/7
20,21,89,2,England,266,7,Guyana,Providence Stadium,266/7
21,22,92,3,England,266,7,Guyana,Providence Stadium,266/7
22,23,97,3,England,266,7,Guyana,Providence Stadium,266/7
23,24,101,3,England,266,7,Guyana,Providence Stadium,266/7
24,25,104,3,England,266,7,Guyana,Providence Stadium,266/7
25,26,112,3,England,266,7,Guyana,Providence Stadium,266/7
26,27,117,4,England,266,7,Guyana,Providence Stadium,266/7
27,28,121,4,England,266,7,Guyana,Providence Stadium,266/7
28,29,122,4,England,266,7,Guyana,Providence Stadium,266/7
29,30,125,4,England,266,7,Guyana,Providence Stadium,266/7
30,31,128,4,England,266,7,Guyana,Providence Stadium,266/7
31,32,136,4,England,266,7,Guyana,Providence Stadium,266/7
32,33,139,4,England,266,7,Guyana,Providence Stadium,266/7
33,34,144,4,England,266,7,Guyana,Providence Stadium,266/7
34,35,149,4,England,266,7,Guyana,Providence Stadium,266/7
35,36,152,4,England,266,7,Guyana,Providence Stadium,266/7
36,37,159,4,England,266,7,Guyana,Providence Stadium,266/7
37,38,165,4,England,266,7,Guyana,Providence Stadium,266/7
38,39,168,4,England,266,7,Guyana,Providence Stadium,266/7
39,40,172,4,England,266,7,Guyana,Providence Stadium,266/7
40,41,175,4,England,266,7,Guyana,Providence Stadium,266/7
41,42,181,4,England,266,7,Guyana,Providence Stadium,266/7
42,43,192,4,England,266,7,Guyana,Providence Stadium,266/7
43,44,195,5,England,266,7,Guyana,Providence Stadium,266/7
44,45,201,5,England,266,7,Guyana,Providence Stadium,266/7
45,46,215,5,England,266,7,Guyana,Providence Stadium,266/7
46,47,226,5,England,266,7,Guyana,Providence Stadium,266/7
47,48,239,5,England,266,7,Guyana,Providence Stadium,266/7
48,49,255,6,England,266,7,Guyana,Providence Stadium,266/7
49,50,266,7,England,266,7,Guyana,Providence Stadium,266/7
