,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,13,0,Afghanistan,253,9,,Harare Sports Club,253/9
1,2,16,0,Afghanistan,253,9,,Harare Sports Club,253/9
2,3,18,0,Afghanistan,253,9,,Harare Sports Club,253/9
3,4,24,0,Afghanistan,253,9,,Harare Sports Club,253/9
4,5,29,0,Afghanistan,253,9,,Harare Sports Club,253/9
5,6,33,1,Afghanistan,253,9,,Harare Sports Club,253/9
6,7,38,1,Afghanistan,253,9,,Harare Sports Club,253/9
7,8,46,1,Afghanistan,253,9,,Harare Sports Club,253/9
8,9,56,1,Afghanistan,253,9,,Harare Sports Club,253/9
9,10,57,2,Afghanistan,253,9,,Harare Sports Club,253/9
10,11,67,2,Afghanistan,253,9,,Harare Sports Club,253/9
11,12,69,2,Afghanistan,253,9,,Harare Sports Club,253/9
12,13,73,2,Afghanistan,253,9,,Harare Sports Club,253/9
13,14,79,2,Afghanistan,253,9,,Harare Sports Club,253/9
14,15,85,3,Afghanistan,253,9,,Harare Sports Club,253/9
15,16,87,3,Afghanistan,253,9,,Harare Sports Club,253/9
16,17,96,3,Afghanistan,253,9,,Harare Sports Club,253/9
17,18,98,3,Afghanistan,253,9,,Harare Sports Club,253/9
18,19,100,3,Afghanistan,253,9,,Harare Sports Club,253/9
19,20,104,3,Afghanistan,253,9,,Harare Sports Club,253/9
20,21,106,3,Afghanistan,253,9,,Harare Sports Club,253/9
21,22,113,3,Afghanistan,253,9,,Harare Sports Club,253/9
22,23,114,3,Afghanistan,253,9,,Harare Sports Club,253/9
23,24,117,3,Afghanistan,253,9,,Harare Sports Club,253/9
24,25,123,3,Afghanistan,253,9,,Harare Sports Club,253/9
25,26,124,4,Afghanistan,253,9,,Harare Sports Club,253/9
26,27,126,4,Afghanistan,253,9,,Harare Sports Club,253/9
27,28,130,4,Afghanistan,253,9,,Harare Sports Club,253/9
28,29,132,4,Afghanistan,253,9,,Harare Sports Club,253/9
29,30,132,4,Afghanistan,253,9,,Harare Sports Club,253/9
30,31,137,4,Afghanistan,253,9,,Harare Sports Club,253/9
31,32,140,4,Afghanistan,253,9,,Harare Sports Club,253/9
32,33,144,4,Afghanistan,253,9,,Harare Sports Club,253/9
33,34,147,4,Afghanistan,253,9,,Harare Sports Club,253/9
34,35,153,4,Afghanistan,253,9,,Harare Sports Club,253/9
35,36,157,4,Afghanistan,253,9,,Harare Sports Club,253/9
36,37,160,5,Afghanistan,253,9,,Harare Sports Club,253/9
37,38,165,5,Afghanistan,253,9,,Harare Sports Club,253/9
38,39,170,5,Afghanistan,253,9,,Harare Sports Club,253/9
39,40,172,6,Afghanistan,253,9,,Harare Sports Club,253/9
40,41,175,6,Afghanistan,253,9,,Harare Sports Club,253/9
41,42,184,6,Afghanistan,253,9,,Harare Sports Club,253/9
42,43,190,7,Afghanistan,253,9,,Harare Sports Club,253/9
43,44,203,7,Afghanistan,253,9,,Harare Sports Club,253/9
44,45,213,7,Afghanistan,253,9,,Harare Sports Club,253/9
45,46,218,7,Afghanistan,253,9,,Harare Sports Club,253/9
46,47,226,7,Afghanistan,253,9,,Harare Sports Club,253/9
47,48,233,7,Afghanistan,253,9,,Harare Sports Club,253/9
48,49,237,9,Afghanistan,253,9,,Harare Sports Club,253/9
49,50,253,9,Afghanistan,253,9,,Harare Sports Club,253/9
