,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,13,0,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
1,2,19,0,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
2,3,20,0,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
3,4,26,0,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
4,5,36,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
5,6,48,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
6,7,64,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
7,8,70,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
8,9,78,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
9,10,83,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
10,11,86,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
11,12,97,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
12,13,104,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
13,14,110,2,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
14,15,115,2,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
15,16,119,2,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
16,17,126,2,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
17,18,131,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
18,19,134,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
19,20,139,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
20,21,141,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
21,22,146,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
22,23,149,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
23,24,158,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
24,25,166,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
25,26,169,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
26,27,176,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
27,28,181,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
28,29,186,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
29,30,191,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
30,31,202,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
31,32,211,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
32,33,216,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
33,34,221,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
34,35,226,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
35,36,234,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
36,37,238,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
37,38,242,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
38,39,255,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
39,40,265,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
40,41,269,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
41,42,276,5,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
42,43,277,6,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
43,44,279,7,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
44,45,281,7,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
45,46,287,7,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
46,47,300,7,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
47,48,307,7,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
48,49,309,8,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
49,50,317,9,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
