,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,1,0,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
1,2,8,0,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
2,3,15,0,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
3,4,16,0,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
4,5,20,1,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
5,6,21,1,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
6,7,25,1,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
7,8,25,2,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
8,9,30,2,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
9,10,39,2,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
10,11,47,2,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
11,12,52,2,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
12,13,56,3,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
13,14,62,4,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
14,15,63,4,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
15,16,67,4,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
16,17,69,4,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
17,18,71,4,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
18,19,75,4,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
19,20,81,4,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
20,21,83,4,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
21,22,87,4,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
22,23,93,5,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
23,24,98,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
24,25,99,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
25,26,101,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
26,27,106,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
27,28,111,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
28,29,115,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
29,30,118,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
30,31,123,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
31,32,128,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
32,33,131,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
33,34,136,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
34,35,140,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
35,36,155,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
36,37,158,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
37,38,159,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
38,39,165,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
39,40,173,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
40,41,176,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
41,42,184,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
42,43,193,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
43,44,197,6,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
44,45,202,7,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
45,46,213,7,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
46,47,219,7,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
47,48,228,7,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
48,49,241,7,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
49,50,266,7,Australia,266,7,Perth,Western Australia Cricket Association Ground,266/7
