,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,0,0,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
1,2,3,0,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
2,3,5,0,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
3,4,10,0,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
4,5,10,0,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
5,6,10,0,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
6,7,11,0,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
7,8,12,1,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
8,9,14,1,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
9,10,14,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
10,11,17,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
11,12,18,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
12,13,18,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
13,14,18,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
14,15,21,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
15,16,22,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
16,17,24,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
17,18,25,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
18,19,30,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
19,20,31,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
20,21,37,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
21,22,39,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
22,23,40,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
23,24,44,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
24,25,50,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
25,26,50,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
26,27,52,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
27,28,57,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
28,29,60,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
29,30,69,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
30,31,70,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
31,32,74,2,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
32,33,76,3,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
33,34,79,3,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
34,35,80,3,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
35,36,83,3,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
36,37,85,3,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
37,38,90,3,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
38,39,91,3,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
39,40,97,4,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
40,41,104,4,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
41,42,107,4,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
42,43,112,5,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
43,44,117,5,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
44,45,122,5,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
45,46,129,5,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
46,47,138,6,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
47,48,141,7,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
48,49,150,7,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
49,50,155,8,Bangladesh,155,8,Colombo,Nondescripts Cricket Club Ground,155/8
