,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,0,1,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
1,2,6,1,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
2,3,16,1,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
3,4,23,1,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
4,5,32,2,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
5,6,33,2,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
6,7,38,2,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
7,8,47,2,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
8,9,48,2,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
9,10,54,2,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
10,11,59,2,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
11,12,60,2,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
12,13,61,2,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
13,14,67,2,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
14,15,74,2,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
15,16,78,2,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
16,17,84,2,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
17,18,84,2,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
18,19,92,2,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
19,20,100,2,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
20,21,101,2,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
21,22,102,3,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
22,23,108,3,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
23,24,110,4,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
24,25,111,4,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
25,26,113,4,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
26,27,116,4,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
27,28,122,4,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
28,29,125,4,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
29,30,130,4,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
30,31,132,4,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
31,32,136,4,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
32,33,142,4,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
33,34,148,4,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
34,35,153,4,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
35,36,158,4,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
36,37,165,4,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
37,38,168,5,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
38,39,172,5,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
39,40,179,5,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
40,41,185,6,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
41,42,191,6,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
42,43,197,6,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
43,44,199,6,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
44,45,202,6,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
45,46,208,7,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
46,47,216,7,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
47,48,223,7,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
48,49,228,8,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
49,50,235,8,Bermuda,235,8,Potchefstroom,Sedgars Park,235/8
