,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,3,0,Canada,210,10,Mount Maunganui,Bay Oval,210/10
1,2,8,0,Canada,210,10,Mount Maunganui,Bay Oval,210/10
2,3,13,0,Canada,210,10,Mount Maunganui,Bay Oval,210/10
3,4,16,0,Canada,210,10,Mount Maunganui,Bay Oval,210/10
4,5,19,0,Canada,210,10,Mount Maunganui,Bay Oval,210/10
5,6,25,0,Canada,210,10,Mount Maunganui,Bay Oval,210/10
6,7,30,0,Canada,210,10,Mount Maunganui,Bay Oval,210/10
7,8,39,0,Canada,210,10,Mount Maunganui,Bay Oval,210/10
8,9,41,0,Canada,210,10,Mount Maunganui,Bay Oval,210/10
9,10,45,0,Canada,210,10,Mount Maunganui,Bay Oval,210/10
10,11,46,0,Canada,210,10,Mount Maunganui,Bay Oval,210/10
11,12,53,0,Canada,210,10,Mount Maunganui,Bay Oval,210/10
12,13,55,1,Canada,210,10,Mount Maunganui,Bay Oval,210/10
13,14,55,2,Canada,210,10,Mount Maunganui,Bay Oval,210/10
14,15,60,2,Canada,210,10,Mount Maunganui,Bay Oval,210/10
15,16,67,2,Canada,210,10,Mount Maunganui,Bay Oval,210/10
16,17,72,2,Canada,210,10,Mount Maunganui,Bay Oval,210/10
17,18,80,2,Canada,210,10,Mount Maunganui,Bay Oval,210/10
18,19,84,2,Canada,210,10,Mount Maunganui,Bay Oval,210/10
19,20,86,2,Canada,210,10,Mount Maunganui,Bay Oval,210/10
20,21,92,2,Canada,210,10,Mount Maunganui,Bay Oval,210/10
21,22,94,2,Canada,210,10,Mount Maunganui,Bay Oval,210/10
22,23,102,2,Canada,210,10,Mount Maunganui,Bay Oval,210/10
23,24,107,2,Canada,210,10,Mount Maunganui,Bay Oval,210/10
24,25,111,2,Canada,210,10,Mount Maunganui,Bay Oval,210/10
25,26,112,3,Canada,210,10,Mount Maunganui,Bay Oval,210/10
26,27,120,3,Canada,210,10,Mount Maunganui,Bay Oval,210/10
27,28,125,3,Canada,210,10,Mount Maunganui,Bay Oval,210/10
28,29,125,3,Canada,210,10,Mount Maunganui,Bay Oval,210/10
29,30,126,4,Canada,210,10,Mount Maunganui,Bay Oval,210/10
30,31,130,4,Canada,210,10,Mount Maunganui,Bay Oval,210/10
31,32,131,5,Canada,210,10,Mount Maunganui,Bay Oval,210/10
32,33,134,5,Canada,210,10,Mount Maunganui,Bay Oval,210/10
33,34,141,5,Canada,210,10,Mount Maunganui,Bay Oval,210/10
34,35,144,5,Canada,210,10,Mount Maunganui,Bay Oval,210/10
35,36,146,5,Canada,210,10,Mount Maunganui,Bay Oval,210/10
36,37,151,5,Canada,210,10,Mount Maunganui,Bay Oval,210/10
37,38,155,5,Canada,210,10,Mount Maunganui,Bay Oval,210/10
38,39,157,5,Canada,210,10,Mount Maunganui,Bay Oval,210/10
39,40,163,5,Canada,210,10,Mount Maunganui,Bay Oval,210/10
40,41,170,5,Canada,210,10,Mount Maunganui,Bay Oval,210/10
41,42,174,5,Canada,210,10,Mount Maunganui,Bay Oval,210/10
42,43,177,5,Canada,210,10,Mount Maunganui,Bay Oval,210/10
43,44,185,5,Canada,210,10,Mount Maunganui,Bay Oval,210/10
44,45,187,6,Canada,210,10,Mount Maunganui,Bay Oval,210/10
45,46,191,7,Canada,210,10,Mount Maunganui,Bay Oval,210/10
46,47,196,8,Canada,210,10,Mount Maunganui,Bay Oval,210/10
47,48,199,8,Canada,210,10,Mount Maunganui,Bay Oval,210/10
48,49,207,8,Canada,210,10,Mount Maunganui,Bay Oval,210/10
49,50,210,10,Canada,210,10,Mount Maunganui,Bay Oval,210/10
