,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,8,0,England,292,7,,Sydney Cricket Ground,292/7
1,2,10,0,England,292,7,,Sydney Cricket Ground,292/7
2,3,13,0,England,292,7,,Sydney Cricket Ground,292/7
3,4,13,0,England,292,7,,Sydney Cricket Ground,292/7
4,5,17,0,England,292,7,,Sydney Cricket Ground,292/7
5,6,28,0,England,292,7,,Sydney Cricket Ground,292/7
6,7,29,0,England,292,7,,Sydney Cricket Ground,292/7
7,8,43,0,England,292,7,,Sydney Cricket Ground,292/7
8,9,48,0,England,292,7,,Sydney Cricket Ground,292/7
9,10,57,0,England,292,7,,Sydney Cricket Ground,292/7
10,11,58,1,England,292,7,,Sydney Cricket Ground,292/7
11,12,60,1,England,292,7,,Sydney Cricket Ground,292/7
12,13,64,1,England,292,7,,Sydney Cricket Ground,292/7
13,14,65,1,England,292,7,,Sydney Cricket Ground,292/7
14,15,75,1,England,292,7,,Sydney Cricket Ground,292/7
15,16,81,1,England,292,7,,Sydney Cricket Ground,292/7
16,17,85,1,England,292,7,,Sydney Cricket Ground,292/7
17,18,88,1,England,292,7,,Sydney Cricket Ground,292/7
18,19,92,1,England,292,7,,Sydney Cricket Ground,292/7
19,20,96,1,England,292,7,,Sydney Cricket Ground,292/7
20,21,105,1,England,292,7,,Sydney Cricket Ground,292/7
21,22,107,1,England,292,7,,Sydney Cricket Ground,292/7
22,23,115,1,England,292,7,,Sydney Cricket Ground,292/7
23,24,121,1,England,292,7,,Sydney Cricket Ground,292/7
24,25,126,1,England,292,7,,Sydney Cricket Ground,292/7
25,26,130,1,England,292,7,,Sydney Cricket Ground,292/7
26,27,135,1,England,292,7,,Sydney Cricket Ground,292/7
27,28,141,1,England,292,7,,Sydney Cricket Ground,292/7
28,29,144,1,England,292,7,,Sydney Cricket Ground,292/7
29,30,151,1,England,292,7,,Sydney Cricket Ground,292/7
30,31,153,1,England,292,7,,Sydney Cricket Ground,292/7
31,32,162,1,England,292,7,,Sydney Cricket Ground,292/7
32,33,169,1,England,292,7,,Sydney Cricket Ground,292/7
33,34,170,2,England,292,7,,Sydney Cricket Ground,292/7
34,35,173,2,England,292,7,,Sydney Cricket Ground,292/7
35,36,176,2,England,292,7,,Sydney Cricket Ground,292/7
36,37,184,3,England,292,7,,Sydney Cricket Ground,292/7
37,38,187,3,England,292,7,,Sydney Cricket Ground,292/7
38,39,195,3,England,292,7,,Sydney Cricket Ground,292/7
39,40,203,3,England,292,7,,Sydney Cricket Ground,292/7
40,41,213,3,England,292,7,,Sydney Cricket Ground,292/7
41,42,220,3,England,292,7,,Sydney Cricket Ground,292/7
42,43,225,4,England,292,7,,Sydney Cricket Ground,292/7
43,44,232,4,England,292,7,,Sydney Cricket Ground,292/7
44,45,247,4,England,292,7,,Sydney Cricket Ground,292/7
45,46,256,4,England,292,7,,Sydney Cricket Ground,292/7
46,47,261,6,England,292,7,,Sydney Cricket Ground,292/7
47,48,274,7,England,292,7,,Sydney Cricket Ground,292/7
48,49,284,7,England,292,7,,Sydney Cricket Ground,292/7
49,50,292,7,England,292,7,,Sydney Cricket Ground,292/7
