,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,8,0,India,302,6,,Melbourne Cricket Ground,302/6
1,2,12,0,India,302,6,,Melbourne Cricket Ground,302/6
2,3,17,0,India,302,6,,Melbourne Cricket Ground,302/6
3,4,23,0,India,302,6,,Melbourne Cricket Ground,302/6
4,5,26,0,India,302,6,,Melbourne Cricket Ground,302/6
5,6,28,0,India,302,6,,Melbourne Cricket Ground,302/6
6,7,36,0,India,302,6,,Melbourne Cricket Ground,302/6
7,8,41,0,India,302,6,,Melbourne Cricket Ground,302/6
8,9,47,0,India,302,6,,Melbourne Cricket Ground,302/6
9,10,51,0,India,302,6,,Melbourne Cricket Ground,302/6
10,11,55,0,India,302,6,,Melbourne Cricket Ground,302/6
11,12,56,0,India,302,6,,Melbourne Cricket Ground,302/6
12,13,59,0,India,302,6,,Melbourne Cricket Ground,302/6
13,14,63,0,India,302,6,,Melbourne Cricket Ground,302/6
14,15,70,0,India,302,6,,Melbourne Cricket Ground,302/6
15,16,72,0,India,302,6,,Melbourne Cricket Ground,302/6
16,17,78,1,India,302,6,,Melbourne Cricket Ground,302/6
17,18,79,2,India,302,6,,Melbourne Cricket Ground,302/6
18,19,81,2,India,302,6,,Melbourne Cricket Ground,302/6
19,20,84,2,India,302,6,,Melbourne Cricket Ground,302/6
20,21,86,2,India,302,6,,Melbourne Cricket Ground,302/6
21,22,89,2,India,302,6,,Melbourne Cricket Ground,302/6
22,23,95,2,India,302,6,,Melbourne Cricket Ground,302/6
23,24,96,2,India,302,6,,Melbourne Cricket Ground,302/6
24,25,99,2,India,302,6,,Melbourne Cricket Ground,302/6
25,26,105,2,India,302,6,,Melbourne Cricket Ground,302/6
26,27,108,2,India,302,6,,Melbourne Cricket Ground,302/6
27,28,115,3,India,302,6,,Melbourne Cricket Ground,302/6
28,29,120,3,India,302,6,,Melbourne Cricket Ground,302/6
29,30,126,3,India,302,6,,Melbourne Cricket Ground,302/6
30,31,132,3,India,302,6,,Melbourne Cricket Ground,302/6
31,32,143,3,India,302,6,,Melbourne Cricket Ground,302/6
32,33,147,3,India,302,6,,Melbourne Cricket Ground,302/6
33,34,152,3,India,302,6,,Melbourne Cricket Ground,302/6
34,35,155,3,India,302,6,,Melbourne Cricket Ground,302/6
35,36,164,3,India,302,6,,Melbourne Cricket Ground,302/6
36,37,175,3,India,302,6,,Melbourne Cricket Ground,302/6
37,38,184,3,India,302,6,,Melbourne Cricket Ground,302/6
38,39,194,3,India,302,6,,Melbourne Cricket Ground,302/6
39,40,205,3,India,302,6,,Melbourne Cricket Ground,302/6
40,41,217,3,India,302,6,,Melbourne Cricket Ground,302/6
41,42,229,3,India,302,6,,Melbourne Cricket Ground,302/6
42,43,233,3,India,302,6,,Melbourne Cricket Ground,302/6
43,44,241,4,India,302,6,,Melbourne Cricket Ground,302/6
44,45,245,4,India,302,6,,Melbourne Cricket Ground,302/6
45,46,261,4,India,302,6,,Melbourne Cricket Ground,302/6
46,47,273,5,India,302,6,,Melbourne Cricket Ground,302/6
47,48,283,5,India,302,6,,Melbourne Cricket Ground,302/6
48,49,296,6,India,302,6,,Melbourne Cricket Ground,302/6
49,50,302,6,India,302,6,,Melbourne Cricket Ground,302/6
