,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,4,0,Ireland,269,7,Dublin,"The Village, Malahide",269/7
1,2,14,0,Ireland,269,7,Dublin,"The Village, Malahide",269/7
2,3,17,0,Ireland,269,7,Dublin,"The Village, Malahide",269/7
3,4,25,1,Ireland,269,7,Dublin,"The Village, Malahide",269/7
4,5,33,1,Ireland,269,7,Dublin,"The Village, Malahide",269/7
5,6,35,1,Ireland,269,7,Dublin,"The Village, Malahide",269/7
6,7,36,1,Ireland,269,7,Dublin,"The Village, Malahide",269/7
7,8,36,2,Ireland,269,7,Dublin,"The Village, Malahide",269/7
8,9,36,2,Ireland,269,7,Dublin,"The Village, Malahide",269/7
9,10,40,2,Ireland,269,7,Dublin,"The Village, Malahide",269/7
10,11,46,2,Ireland,269,7,Dublin,"The Village, Malahide",269/7
11,12,50,2,Ireland,269,7,Dublin,"The Village, Malahide",269/7
12,13,60,2,Ireland,269,7,Dublin,"The Village, Malahide",269/7
13,14,63,2,Ireland,269,7,Dublin,"The Village, Malahide",269/7
14,15,68,2,Ireland,269,7,Dublin,"The Village, Malahide",269/7
15,16,73,2,Ireland,269,7,Dublin,"The Village, Malahide",269/7
16,17,76,2,Ireland,269,7,Dublin,"The Village, Malahide",269/7
17,18,79,2,Ireland,269,7,Dublin,"The Village, Malahide",269/7
18,19,81,2,Ireland,269,7,Dublin,"The Village, Malahide",269/7
19,20,90,2,Ireland,269,7,Dublin,"The Village, Malahide",269/7
20,21,95,3,Ireland,269,7,Dublin,"The Village, Malahide",269/7
21,22,102,3,Ireland,269,7,Dublin,"The Village, Malahide",269/7
22,23,103,3,Ireland,269,7,Dublin,"The Village, Malahide",269/7
23,24,110,3,Ireland,269,7,Dublin,"The Village, Malahide",269/7
24,25,115,3,Ireland,269,7,Dublin,"The Village, Malahide",269/7
25,26,120,3,Ireland,269,7,Dublin,"The Village, Malahide",269/7
26,27,122,4,Ireland,269,7,Dublin,"The Village, Malahide",269/7
27,28,123,4,Ireland,269,7,Dublin,"The Village, Malahide",269/7
28,29,129,4,Ireland,269,7,Dublin,"The Village, Malahide",269/7
29,30,140,4,Ireland,269,7,Dublin,"The Village, Malahide",269/7
30,31,146,4,Ireland,269,7,Dublin,"The Village, Malahide",269/7
31,32,151,4,Ireland,269,7,Dublin,"The Village, Malahide",269/7
32,33,152,4,Ireland,269,7,Dublin,"The Village, Malahide",269/7
33,34,157,4,Ireland,269,7,Dublin,"The Village, Malahide",269/7
34,35,163,5,Ireland,269,7,Dublin,"The Village, Malahide",269/7
35,36,164,5,Ireland,269,7,Dublin,"The Village, Malahide",269/7
36,37,167,5,Ireland,269,7,Dublin,"The Village, Malahide",269/7
37,38,171,5,Ireland,269,7,Dublin,"The Village, Malahide",269/7
38,39,175,5,Ireland,269,7,Dublin,"The Village, Malahide",269/7
39,40,179,5,Ireland,269,7,Dublin,"The Village, Malahide",269/7
40,41,191,5,Ireland,269,7,Dublin,"The Village, Malahide",269/7
41,42,200,5,Ireland,269,7,Dublin,"The Village, Malahide",269/7
42,43,204,5,Ireland,269,7,Dublin,"The Village, Malahide",269/7
43,44,211,5,Ireland,269,7,Dublin,"The Village, Malahide",269/7
44,45,224,5,Ireland,269,7,Dublin,"The Village, Malahide",269/7
45,46,230,7,Ireland,269,7,Dublin,"The Village, Malahide",269/7
46,47,235,7,Ireland,269,7,Dublin,"The Village, Malahide",269/7
47,48,247,7,Ireland,269,7,Dublin,"The Village, Malahide",269/7
48,49,256,7,Ireland,269,7,Dublin,"The Village, Malahide",269/7
49,50,269,7,Ireland,269,7,Dublin,"The Village, Malahide",269/7
