,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,7,0,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
1,2,12,0,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
2,3,17,0,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
3,4,17,0,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
4,5,21,0,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
5,6,34,0,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
6,7,41,1,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
7,8,46,1,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
8,9,47,1,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
9,10,47,1,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
10,11,57,1,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
11,12,58,2,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
12,13,59,2,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
13,14,60,2,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
14,15,65,2,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
15,16,70,2,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
16,17,79,2,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
17,18,82,2,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
18,19,88,2,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
19,20,90,2,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
20,21,94,2,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
21,22,96,2,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
22,23,101,2,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
23,24,109,2,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
24,25,119,2,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
25,26,130,2,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
26,27,132,2,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
27,28,136,2,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
28,29,137,3,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
29,30,142,3,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
30,31,147,3,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
31,32,148,3,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
32,33,149,4,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
33,34,152,4,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
34,35,162,4,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
35,36,166,4,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
36,37,171,4,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
37,38,179,4,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
38,39,186,4,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
39,40,188,4,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
40,41,199,4,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
41,42,209,4,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
42,43,214,5,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
43,44,225,5,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
44,45,239,5,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
45,46,253,5,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
46,47,259,5,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
47,48,274,5,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
48,49,286,6,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
49,50,292,6,Netherlands,292,6,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",292/6
