,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,2,0,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
1,2,4,1,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
2,3,5,1,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
3,4,8,1,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
4,5,15,1,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
5,6,20,1,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
6,7,26,1,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
7,8,30,2,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
8,9,33,2,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
9,10,36,3,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
10,11,37,3,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
11,12,40,3,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
12,13,41,3,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
13,14,47,3,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
14,15,48,4,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
15,16,50,4,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
16,17,50,4,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
17,18,55,4,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
18,19,56,4,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
19,20,57,4,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
20,21,61,4,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
21,22,66,4,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
22,23,69,4,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
23,24,71,5,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
24,25,71,5,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
25,26,77,5,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
26,27,78,5,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
27,28,81,5,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
28,29,87,5,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
29,30,90,5,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
30,31,94,5,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
31,32,97,5,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
32,33,99,5,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
33,34,110,5,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
34,35,117,6,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
35,36,121,6,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
36,37,125,6,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
37,38,125,6,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
38,39,128,6,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
39,40,133,6,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
40,41,139,6,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
41,42,147,6,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
42,43,151,6,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
43,44,160,6,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
44,45,161,7,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
45,46,164,8,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
46,47,170,8,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
47,48,173,9,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
48,49,183,9,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
49,50,190,9,New Zealand,190,9,Jamaica,"Sabina Park, Kingston",190/9
