,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,2,0,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
1,2,2,0,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
2,3,9,0,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
3,4,25,0,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
4,5,32,0,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
5,6,33,0,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
6,7,35,1,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
7,8,35,1,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
8,9,45,1,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
9,10,47,1,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
10,11,50,1,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
11,12,52,1,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
12,13,69,1,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
13,14,74,1,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
14,15,76,1,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
15,16,81,1,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
16,17,86,1,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
17,18,95,1,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
18,19,97,1,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
19,20,110,1,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
20,21,112,1,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
21,22,118,1,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
22,23,126,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
23,24,131,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
24,25,134,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
25,26,135,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
26,27,138,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
27,28,140,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
28,29,149,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
29,30,157,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
30,31,161,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
31,32,165,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
32,33,169,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
33,34,177,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
34,35,182,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
35,36,186,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
36,37,190,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
37,38,203,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
38,39,207,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
39,40,219,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
40,41,226,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
41,42,240,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
42,43,248,2,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
43,44,258,3,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
44,45,267,3,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
45,46,285,3,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
46,47,290,3,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
47,48,302,4,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
48,49,312,4,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
49,50,322,5,Pakistan,322,5,,Sharjah Cricket Stadium,322/5
