,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,3,0,Scotland,341,9,Christchurch,Hagley Oval,341/9
1,2,11,0,Scotland,341,9,Christchurch,Hagley Oval,341/9
2,3,19,0,Scotland,341,9,Christchurch,Hagley Oval,341/9
3,4,25,0,Scotland,341,9,Christchurch,Hagley Oval,341/9
4,5,30,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
5,6,34,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
6,7,41,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
7,8,53,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
8,9,58,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
9,10,64,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
10,11,71,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
11,12,80,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
12,13,84,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
13,14,91,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
14,15,92,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
15,16,97,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
16,17,100,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
17,18,108,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
18,19,118,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
19,20,123,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
20,21,131,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
21,22,134,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
22,23,144,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
23,24,148,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
24,25,153,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
25,26,159,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
26,27,168,1,Scotland,341,9,Christchurch,Hagley Oval,341/9
27,28,169,2,Scotland,341,9,Christchurch,Hagley Oval,341/9
28,29,177,2,Scotland,341,9,Christchurch,Hagley Oval,341/9
29,30,182,2,Scotland,341,9,Christchurch,Hagley Oval,341/9
30,31,188,2,Scotland,341,9,Christchurch,Hagley Oval,341/9
31,32,193,3,Scotland,341,9,Christchurch,Hagley Oval,341/9
32,33,198,3,Scotland,341,9,Christchurch,Hagley Oval,341/9
33,34,204,3,Scotland,341,9,Christchurch,Hagley Oval,341/9
34,35,216,3,Scotland,341,9,Christchurch,Hagley Oval,341/9
35,36,221,3,Scotland,341,9,Christchurch,Hagley Oval,341/9
36,37,226,3,Scotland,341,9,Christchurch,Hagley Oval,341/9
37,38,240,3,Scotland,341,9,Christchurch,Hagley Oval,341/9
38,39,247,3,Scotland,341,9,Christchurch,Hagley Oval,341/9
39,40,254,3,Scotland,341,9,Christchurch,Hagley Oval,341/9
40,41,267,3,Scotland,341,9,Christchurch,Hagley Oval,341/9
41,42,277,3,Scotland,341,9,Christchurch,Hagley Oval,341/9
42,43,284,3,Scotland,341,9,Christchurch,Hagley Oval,341/9
43,44,293,3,Scotland,341,9,Christchurch,Hagley Oval,341/9
44,45,307,4,Scotland,341,9,Christchurch,Hagley Oval,341/9
45,46,310,6,Scotland,341,9,Christchurch,Hagley Oval,341/9
46,47,322,6,Scotland,341,9,Christchurch,Hagley Oval,341/9
47,48,332,7,Scotland,341,9,Christchurch,Hagley Oval,341/9
48,49,335,8,Scotland,341,9,Christchurch,Hagley Oval,341/9
49,50,341,9,Scotland,341,9,Christchurch,Hagley Oval,341/9
