,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,0,0,South Africa,339,4,Hamilton,Seddon Park,339/4
1,2,3,0,South Africa,339,4,Hamilton,Seddon Park,339/4
2,3,8,0,South Africa,339,4,Hamilton,Seddon Park,339/4
3,4,10,1,South Africa,339,4,Hamilton,Seddon Park,339/4
4,5,13,1,South Africa,339,4,Hamilton,Seddon Park,339/4
5,6,13,1,South Africa,339,4,Hamilton,Seddon Park,339/4
6,7,20,1,South Africa,339,4,Hamilton,Seddon Park,339/4
7,8,21,1,South Africa,339,4,Hamilton,Seddon Park,339/4
8,9,21,2,South Africa,339,4,Hamilton,Seddon Park,339/4
9,10,28,2,South Africa,339,4,Hamilton,Seddon Park,339/4
10,11,30,2,South Africa,339,4,Hamilton,Seddon Park,339/4
11,12,34,2,South Africa,339,4,Hamilton,Seddon Park,339/4
12,13,41,2,South Africa,339,4,Hamilton,Seddon Park,339/4
13,14,48,2,South Africa,339,4,Hamilton,Seddon Park,339/4
14,15,55,2,South Africa,339,4,Hamilton,Seddon Park,339/4
15,16,59,2,South Africa,339,4,Hamilton,Seddon Park,339/4
16,17,67,3,South Africa,339,4,Hamilton,Seddon Park,339/4
17,18,72,3,South Africa,339,4,Hamilton,Seddon Park,339/4
18,19,80,3,South Africa,339,4,Hamilton,Seddon Park,339/4
19,20,83,3,South Africa,339,4,Hamilton,Seddon Park,339/4
20,21,84,4,South Africa,339,4,Hamilton,Seddon Park,339/4
21,22,88,4,South Africa,339,4,Hamilton,Seddon Park,339/4
22,23,90,4,South Africa,339,4,Hamilton,Seddon Park,339/4
23,24,98,4,South Africa,339,4,Hamilton,Seddon Park,339/4
24,25,102,4,South Africa,339,4,Hamilton,Seddon Park,339/4
25,26,109,4,South Africa,339,4,Hamilton,Seddon Park,339/4
26,27,114,4,South Africa,339,4,Hamilton,Seddon Park,339/4
27,28,121,4,South Africa,339,4,Hamilton,Seddon Park,339/4
28,29,125,4,South Africa,339,4,Hamilton,Seddon Park,339/4
29,30,131,4,South Africa,339,4,Hamilton,Seddon Park,339/4
30,31,133,4,South Africa,339,4,Hamilton,Seddon Park,339/4
31,32,136,4,South Africa,339,4,Hamilton,Seddon Park,339/4
32,33,143,4,South Africa,339,4,Hamilton,Seddon Park,339/4
33,34,145,4,South Africa,339,4,Hamilton,Seddon Park,339/4
34,35,151,4,South Africa,339,4,Hamilton,Seddon Park,339/4
35,36,155,4,South Africa,339,4,Hamilton,Seddon Park,339/4
36,37,165,4,South Africa,339,4,Hamilton,Seddon Park,339/4
37,38,174,4,South Africa,339,4,Hamilton,Seddon Park,339/4
38,39,183,4,South Africa,339,4,Hamilton,Seddon Park,339/4
39,40,193,4,South Africa,339,4,Hamilton,Seddon Park,339/4
40,41,207,4,South Africa,339,4,Hamilton,Seddon Park,339/4
41,42,214,4,South Africa,339,4,Hamilton,Seddon Park,339/4
42,43,220,4,South Africa,339,4,Hamilton,Seddon Park,339/4
43,44,228,4,South Africa,339,4,Hamilton,Seddon Park,339/4
44,45,243,4,South Africa,339,4,Hamilton,Seddon Park,339/4
45,46,262,4,South Africa,339,4,Hamilton,Seddon Park,339/4
46,47,278,4,South Africa,339,4,Hamilton,Seddon Park,339/4
47,48,308,4,South Africa,339,4,Hamilton,Seddon Park,339/4
48,49,320,4,South Africa,339,4,Hamilton,Seddon Park,339/4
49,50,339,4,South Africa,339,4,Hamilton,Seddon Park,339/4
