,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,2,0,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
1,2,6,0,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
2,3,10,1,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
3,4,14,1,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
4,5,19,2,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
5,6,20,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
6,7,24,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
7,8,26,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
8,9,27,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
9,10,40,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
10,11,46,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
11,12,54,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
12,13,58,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
13,14,63,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
14,15,67,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
15,16,71,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
16,17,72,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
17,18,75,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
18,19,84,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
19,20,92,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
20,21,96,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
21,22,101,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
22,23,105,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
23,24,109,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
24,25,114,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
25,26,120,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
26,27,124,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
27,28,129,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
28,29,140,3,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
29,30,145,4,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
30,31,148,4,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
31,32,153,4,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
32,33,158,4,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
33,34,161,4,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
34,35,165,4,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
35,36,172,4,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
36,37,177,4,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
37,38,182,5,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
38,39,186,5,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
39,40,189,5,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
40,41,199,5,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
41,42,208,5,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
42,43,215,5,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
43,44,223,5,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
44,45,236,5,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
45,46,243,5,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
46,47,254,5,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
47,48,263,5,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
48,49,270,5,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
49,50,286,5,Sri Lanka,286,5,Colombo,R Premadasa Stadium,286/5
