,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,2,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
1,2,6,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
2,3,14,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
3,4,21,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
4,5,31,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
5,6,38,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
6,7,45,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
7,8,48,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
8,9,56,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
9,10,58,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
10,11,62,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
11,12,67,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
12,13,73,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
13,14,74,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
14,15,79,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
15,16,82,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
16,17,87,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
17,18,89,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
18,19,90,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
19,20,93,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
20,21,98,0,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
21,22,101,1,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
22,23,111,1,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
23,24,118,2,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
24,25,125,2,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
25,26,126,2,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
26,27,129,2,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
27,28,134,2,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
28,29,139,2,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
29,30,143,2,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
30,31,148,2,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
31,32,153,2,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
32,33,158,2,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
33,34,165,2,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
34,35,170,2,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
35,36,175,2,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
36,37,183,2,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
37,38,185,2,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
38,39,186,3,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
39,40,189,3,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
40,41,193,3,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
41,42,199,3,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
42,43,210,4,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
43,44,211,5,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
44,45,214,6,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
45,46,222,6,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
46,47,226,8,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
47,48,230,8,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
48,49,243,8,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
49,50,251,9,United Arab Emirates,251,9,Abu Dhabi,Sheikh Zayed Stadium,251/9
