,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,2,0,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
1,2,2,0,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
2,3,2,1,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
3,4,6,1,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
4,5,7,1,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
5,6,8,1,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
6,7,10,1,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
7,8,21,1,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
8,9,28,1,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
9,10,30,1,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
10,11,38,1,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
11,12,40,1,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
12,13,42,1,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
13,14,44,2,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
14,15,44,2,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
15,16,47,2,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
16,17,52,2,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
17,18,58,2,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
18,19,74,2,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
19,20,77,2,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
20,21,79,2,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
21,22,80,2,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
22,23,87,2,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
23,24,90,2,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
24,25,93,2,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
25,26,97,3,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
26,27,102,3,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
27,28,104,3,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
28,29,106,3,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
29,30,110,3,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
30,31,114,3,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
31,32,118,3,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
32,33,121,3,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
33,34,123,4,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
34,35,127,4,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
35,36,129,4,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
36,37,136,4,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
37,38,140,4,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
38,39,145,4,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
39,40,154,4,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
40,41,157,4,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
41,42,163,4,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
42,43,167,4,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
43,44,181,5,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
44,45,187,6,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
45,46,195,6,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
46,47,208,6,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
47,48,217,6,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
48,49,240,6,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
49,50,260,6,West Indies,260,6,Ahmedabad,"Sardar Patel Stadium, Motera",260/6
