,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,2,0,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
1,2,3,0,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
2,3,3,0,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
3,4,9,0,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
4,5,11,0,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
5,6,24,0,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
6,7,28,0,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
7,8,36,0,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
8,9,37,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
9,10,37,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
10,11,40,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
11,12,50,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
12,13,56,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
13,14,58,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
14,15,61,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
15,16,64,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
16,17,72,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
17,18,77,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
18,19,83,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
19,20,88,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
20,21,95,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
21,22,101,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
22,23,104,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
23,24,115,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
24,25,121,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
25,26,125,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
26,27,130,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
27,28,134,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
28,29,140,1,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
29,30,146,2,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
30,31,153,2,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
31,32,154,2,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
32,33,159,2,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
33,34,166,2,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
34,35,169,2,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
35,36,172,2,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
36,37,179,2,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
37,38,181,3,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
38,39,182,3,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
39,40,190,3,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
40,41,195,3,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
41,42,198,3,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
42,43,204,3,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
43,44,213,3,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
44,45,222,4,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
45,46,225,5,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
46,47,239,5,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
47,48,250,5,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
48,49,254,6,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
49,50,261,8,Zimbabwe,261,8,Bulawayo,Queens Sports Club,261/8
